PSOL
PT
PC do B
PMDB
PSTU
DEM
PR / PV
PSDB / PSD
PRP / PSL / PHS
PTN / PTC
PCB / PCO
PSC / PPS
PP / PDT
PSDC / PT do B
PTB / PRTB / PPL
PRB / PMN / PSB
